Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa),Wind Chill
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 00:00,2024,1,1,00:00,-2.2,-6.3,74.0,,28.0,7.0,100.55,-5.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 01:00,2024,1,1,01:00,-2.3,-6.0,76.0,,27.0,9.0,100.55,-6.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 02:00,2024,1,1,02:00,-2.5,-5.8,78.0,,28.0,7.0,100.57,-5.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 03:00,2024,1,1,03:00,-2.5,-6.5,74.0,,32.0,6.0,100.56,-5.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 04:00,2024,1,1,04:00,-2.5,-6.4,74.0,,32.0,6.0,100.56,-5.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 05:00,2024,1,1,05:00,-2.6,-6.1,77.0,,31.0,7.0,100.52,-5.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 06:00,2024,1,1,06:00,-2.8,-6.5,76.0,,31.0,8.0,100.52,-6.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 07:00,2024,1,1,07:00,-3.1,-6.4,78.0,,32.0,8.0,100.55,-6.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 08:00,2024,1,1,08:00,-3.2,-6.2,79.0,,31.0,9.0,100.56,-7.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 09:00,2024,1,1,09:00,-3.0,-6.9,74.0,,33.0,10.0,100.61,-7.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 10:00,2024,1,1,10:00,-3.1,-6.0,80.0,,32.0,10.0,100.64,-7.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 11:00,2024,1,1,11:00,-3.0,-6.7,75.0,,31.0,8.0,100.63,-6.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 12:00,2024,1,1,12:00,-2.8,-6.8,74.0,,32.0,7.0,100.57,-6.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 13:00,2024,1,1,13:00,-3.3,-7.0,75.0,,32.0,10.0,100.54,-7.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 14:00,2024,1,1,14:00,-3.3,-7.8,71.0,,31.0,11.0,100.52,-8.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 15:00,2024,1,1,15:00,-3.6,-7.7,73.0,,31.0,9.0,100.6,-7.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 16:00,2024,1,1,16:00,-4.1,-7.9,75.0,,34.0,11.0,100.68,-9.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 17:00,2024,1,1,17:00,-4.2,-7.7,77.0,,34.0,10.0,100.72,-8.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 18:00,2024,1,1,18:00,-4.5,-8.1,76.0,,35.0,10.0,100.75,-9.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 19:00,2024,1,1,19:00,-4.5,-9.3,69.0,,34.0,11.0,100.8,-9.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 20:00,2024,1,1,20:00,-4.5,-9.2,69.0,,33.0,9.0,100.81,-8.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 21:00,2024,1,1,21:00,-4.5,-8.6,73.0,,30.0,5.0,100.82,-7.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 22:00,2024,1,1,22:00,-4.7,-8.4,75.0,,28.0,8.0,100.83,-8.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-01 23:00,2024,1,1,23:00,-4.7,-9.1,71.0,,29.0,9.0,100.85,-9.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 00:00,2024,1,2,00:00,-4.8,-9.3,71.0,,28.0,9.0,100.83,-9.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 01:00,2024,1,2,01:00,-5.1,-9.8,70.0,,29.0,7.0,100.8,-8.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 02:00,2024,1,2,02:00,-5.4,-10.0,70.0,,30.0,10.0,100.81,-10.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 03:00,2024,1,2,03:00,-5.3,-9.5,72.0,,29.0,7.0,100.81,-9.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 04:00,2024,1,2,04:00,-5.5,-10.1,70.0,,29.0,9.0,100.8,-10.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 05:00,2024,1,2,05:00,-5.4,-9.7,72.0,,29.0,9.0,100.78,-9.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 06:00,2024,1,2,06:00,-5.4,-9.6,72.0,,30.0,7.0,100.81,-9.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 07:00,2024,1,2,07:00,-5.5,-9.5,74.0,,28.0,10.0,100.82,-10.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 08:00,2024,1,2,08:00,-5.2,-9.1,74.0,,27.0,7.0,100.85,-8.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 09:00,2024,1,2,09:00,-4.8,-8.4,76.0,,25.0,6.0,100.86,-8.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 10:00,2024,1,2,10:00,-4.3,-8.3,74.0,,27.0,12.0,100.86,-9.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 11:00,2024,1,2,11:00,-3.9,-8.0,73.0,,28.0,12.0,100.81,-9.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 12:00,2024,1,2,12:00,-2.9,-7.0,73.0,,26.0,11.0,100.74,-7.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 13:00,2024,1,2,13:00,-2.7,-6.7,74.0,,26.0,11.0,100.67,-7.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 14:00,2024,1,2,14:00,-2.2,-6.6,72.0,,25.0,10.0,100.61,-6.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 15:00,2024,1,2,15:00,-1.4,-6.3,69.0,,27.0,10.0,100.62,-5.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 16:00,2024,1,2,16:00,-1.2,-6.4,68.0,,27.0,9.0,100.58,-4.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 17:00,2024,1,2,17:00,-1.8,-6.0,73.0,,23.0,4.0,100.6,-3.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 18:00,2024,1,2,18:00,-2.3,-5.8,77.0,,24.0,3.0,100.6,-3.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 19:00,2024,1,2,19:00,-2.5,-5.8,78.0,,21.0,3.0,100.59,-4.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 20:00,2024,1,2,20:00,-2.5,-5.8,78.0,,23.0,5.0,100.58,-4.0
-63.61,44.66,HALIFAX WINDSOR PARK,8202255,2024-01-02 21:00,2024,1,2,21:00,-2.5,-5.7,79.0,,23.0,4.0,100.61,-4.0
