"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 00:00","2024","01","01","00:00","","-2.2","","-6.3","","74","","","","28","","7","","","","100.55","","","","-5","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 01:00","2024","01","01","01:00","","-2.3","","-6.0","","76","","","","27","","9","","","","100.55","","","","-6","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 02:00","2024","01","01","02:00","","-2.5","","-5.8","","78","","","","28","","7","","","","100.57","","","","-5","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 03:00","2024","01","01","03:00","","-2.5","","-6.5","","74","","","","32","","6","","","","100.56","","","","-5","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 04:00","2024","01","01","04:00","","-2.5","","-6.4","","74","","","","32","","6","","","","100.56","","","","-5","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 05:00","2024","01","01","05:00","","-2.6","","-6.1","","77","","","","31","","7","","","","100.52","","","","-5","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 06:00","2024","01","01","06:00","","-2.8","","-6.5","","76","","","","31","","8","","","","100.52","","","","-6","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 07:00","2024","01","01","07:00","","-3.1","","-6.4","","78","","","","32","","8","","","","100.55","","","","-6","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 08:00","2024","01","01","08:00","","-3.2","","-6.2","","79","","","","31","","9","","","","100.56","","","","-7","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 09:00","2024","01","01","09:00","","-3.0","","-6.9","","74","","","","33","","10","","","","100.61","","","","-7","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 10:00","2024","01","01","10:00","","-3.1","","-6.0","","80","","","","32","","10","","","","100.64","","","","-7","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 11:00","2024","01","01","11:00","","-3.0","","-6.7","","75","","","","31","","8","","","","100.63","","","","-6","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 12:00","2024","01","01","12:00","","-2.8","","-6.8","","74","","","","32","","7","","","","100.57","","","","-6","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 13:00","2024","01","01","13:00","","-3.3","","-7.0","","75","","","","32","","10","","","","100.54","","","","-7","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 14:00","2024","01","01","14:00","","-3.3","","-7.8","","71","","","","31","","11","","","","100.52","","","","-8","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 15:00","2024","01","01","15:00","","-3.6","","-7.7","","73","","","","31","","9","","","","100.60","","","","-7","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 16:00","2024","01","01","16:00","","-4.1","","-7.9","","75","","","","34","","11","","","","100.68","","","","-9","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 17:00","2024","01","01","17:00","","-4.2","","-7.7","","77","","","","34","","10","","","","100.72","","","","-8","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 18:00","2024","01","01","18:00","","-4.5","","-8.1","","76","","","","35","","10","","","","100.75","","","","-9","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 19:00","2024","01","01","19:00","","-4.5","","-9.3","","69","","","","34","","11","","","","100.80","","","","-9","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 20:00","2024","01","01","20:00","","-4.5","","-9.2","","69","","","","33","","9","","","","100.81","","","","-8","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 21:00","2024","01","01","21:00","","-4.5","","-8.6","","73","","","","30","","5","","","","100.82","","","","-7","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 22:00","2024","01","01","22:00","","-4.7","","-8.4","","75","","","","28","","8","","","","100.83","","","","-8","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-01 23:00","2024","01","01","23:00","","-4.7","","-9.1","","71","","","","29","","9","","","","100.85","","","","-9","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 00:00","2024","01","02","00:00","","-4.8","","-9.3","","71","","","","28","","9","","","","100.83","","","","-9","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 01:00","2024","01","02","01:00","","-5.1","","-9.8","","70","","","","29","","7","","","","100.80","","","","-8","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 02:00","2024","01","02","02:00","","-5.4","","-10.0","","70","","","","30","","10","","","","100.81","","","","-10","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 03:00","2024","01","02","03:00","","-5.3","","-9.5","","72","","","","29","","7","","","","100.81","","","","-9","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 04:00","2024","01","02","04:00","","-5.5","","-10.1","","70","","","","29","","9","","","","100.80","","","","-10","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 05:00","2024","01","02","05:00","","-5.4","","-9.7","","72","","","","29","","9","","","","100.78","","","","-9","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 06:00","2024","01","02","06:00","","-5.4","","-9.6","","72","","","","30","","7","","","","100.81","","","","-9","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 07:00","2024","01","02","07:00","","-5.5","","-9.5","","74","","","","28","","10","","","","100.82","","","","-10","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 08:00","2024","01","02","08:00","","-5.2","","-9.1","","74","","","","27","","7","","","","100.85","","","","-8","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 09:00","2024","01","02","09:00","","-4.8","","-8.4","","76","","","","25","","6","","","","100.86","","","","-8","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 10:00","2024","01","02","10:00","","-4.3","","-8.3","","74","","","","27","","12","","","","100.86","","","","-9","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 11:00","2024","01","02","11:00","","-3.9","","-8.0","","73","","","","28","","12","","","","100.81","","","","-9","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 12:00","2024","01","02","12:00","","-2.9","","-7.0","","73","","","","26","","11","","","","100.74","","","","-7","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 13:00","2024","01","02","13:00","","-2.7","","-6.7","","74","","","","26","","11","","","","100.67","","","","-7","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 14:00","2024","01","02","14:00","","-2.2","","-6.6","","72","","","","25","","10","","","","100.61","","","","-6","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 15:00","2024","01","02","15:00","","-1.4","","-6.3","","69","","","","27","","10","","","","100.62","","","","-5","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-01-02 16:00","2024","01","02","16:00","","-1.2","","-6.4","","68","","","","27","","9","","","","100.58","","","","-4","","NA"
